Adam O'Neill,University of Massachusetts Amherst,2019,Cryptography,"University of California, San Diego",Georgia Institute of Technology
Alexandra Meliou,University of Massachusetts Amherst,2012,Algorithms & Complexity,National Technical University of Athens,"University of California, Berkeley"
Amir Houmansadr,University of Massachusetts Amherst,2014,Computer Security,Sharif University of Technology,University of Illinois at Urbana-Champaign
Andrew McCallum,University of Massachusetts Amherst,2002,Natural Language Processing,Dartmouth College,University of Rochester
Andrew McGregor,University of Massachusetts Amherst,2009,Algorithms & Complexity,University of Cambridge,University of Pennsylvania
Andrew S. Lan,University of Massachusetts Amherst,2019,Machine Learning & Data Mining,Georgia Institute of Technology,Rice University
Arjun Guha,University of Massachusetts Amherst,2013,Programming Languages,Grinnell College,Brown University
Arun Venkataramani,University of Massachusetts Amherst,2005,Computer Networks,Indian Institute of Technology Bombay,University of Texas at Austin
Barna Saha,University of Massachusetts Amherst,2014,Algorithms & Complexity,Jadavpur University,University of Maryland
Benjamin M. Marlin,University of Massachusetts Amherst,2011,Machine Learning & Data Mining,McGill University,University of Toronto
Brendan O'Connor,University of Massachusetts Amherst,2014,Natural Language Processing,Stanford University,Carnegie Mellon University
Brian Neil Levine,University of Massachusetts Amherst,1999,Computer Networks,State University of New York at Albany,"University of California, Santa Cruz"
Cameron Musco,University of Massachusetts Amherst,2019,Algorithms & Complexity,Yale University,Massachusetts Institute of Technology
Charles C. Weems,University of Massachusetts Amherst,1984,Computer Architecture,Oregon State University,University of Massachusetts Amherst
Daniel R. Sheldon,University of Massachusetts Amherst,2012,Machine Learning & Data Mining,Dartmouth College,Cornell University
David A. Mix Barrington,University of Massachusetts Amherst,1986,Algorithms & Complexity,Amherst College,Massachusetts Institute of Technology
David D. Jensen,University of Massachusetts Amherst,1995,Machine Learning & Data Mining,University of Nebraska-Lincoln,Washington University in St. Louis
David E. Irwin,University of Massachusetts Amherst,2007,Operating Systems,Vanderbilt University,Duke University
Deepak Ganesan,University of Massachusetts Amherst,2004,Mobile Computing,Indian Institute of Technology Madras,"University of California, Los Angeles"
Don Towsley,University of Massachusetts Amherst,1976,Measurement & Perf. Analysis,University of Texas at Austin,University of Texas at Austin
Donald F. Towsley,University of Massachusetts Amherst,1976,Computer Networks,University of Texas at Austin,University of Texas at Austin
Eliot Moss,University of Massachusetts Amherst,1985,Algorithms & Complexity,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Emery Berger,University of Massachusetts Amherst,2008,Programming Languages,University of Miami,University of Texas at Austin
Erik G. Learned-Miller,University of Massachusetts Amherst,2004,Computer Vision,Yale University,Massachusetts Institute of Technology
Evangelos Kalogerakis,University of Massachusetts Amherst,2012,Computer Graphics,Technical University of Crete,University of Toronto
Gerome Miklau,University of Massachusetts Amherst,2005,Computer Security,"University of California, Berkeley",University of Washington
Hava T. Siegelmann,University of Massachusetts Amherst,2001,Artificial Intelligence,Technion - Israel Institute of Technology,Rutgers University
Jack C. Wileden,University of Massachusetts Amherst,1978,Programming Languages,University of Michigan,University of Michigan
James Allan,University of Massachusetts Amherst,1994,The Web & Information Retrieval,Grinnell College,Cornell University
James F. Kurose,University of Massachusetts Amherst,1984,Computer Networks,Wesleyan University,Columbia University
